epoch,train_loss,train_ppl,valid_loss,valid_ppl,lr,secs
1,5.04701,155.557,4.70666,110.682,0.001,160.2
2,4.3234,75.444,4.52019,91.853,0.001,161.0
3,4.05281,57.559,4.4737,87.681,0.001,160.9
4,3.90151,49.477,4.46881,87.253,0.001,161.7
5,3.80561,44.953,4.4703,87.383,0.001,162.0
6,3.73777,42.004,4.48348,88.542,0.001,160.7
7,3.69025,40.055,4.52243,92.059,0.0005,162.0
8,3.51263,33.536,4.43682,84.506,0.0005,160.7
9,3.43379,30.994,4.44165,84.915,0.0005,158.9
10,3.38256,29.446,4.41934,83.041,0.0005,159.2
11,3.33926,28.198,4.41215,82.447,0.0005,160.2
12,3.3026,27.183,4.41445,82.637,0.0005,159.2
13,3.27055,26.326,4.41472,82.659,0.0005,160.2
14,3.24182,25.58,4.42564,83.567,0.00025,161.3
15,3.15092,23.357,4.40167,81.587,0.00025,161.5
16,3.11481,22.529,4.3901,80.648,0.00025,159.9
17,3.08858,21.946,4.38846,80.516,0.00025,160.4
18,3.06508,21.436,4.3838,80.142,0.00025,161.0
19,3.04626,21.036,4.37334,79.308,0.00025,161.7
20,3.02531,20.6,4.38009,79.845,0.00025,161.9
21,3.00758,20.238,4.37563,79.49,0.00025,161.3
22,2.98961,19.878,4.37369,79.336,0.000125,162.4
23,2.94404,18.992,4.36557,78.694,0.000125,161.5
24,2.92936,18.716,4.36472,78.628,0.000125,162.4
25,2.91577,18.463,4.36397,78.568,0.000125,161.0
26,2.90315,18.232,4.36638,78.758,0.000125,160.8
27,2.89414,18.068,4.36195,78.41,0.000125,161.5
28,2.88227,17.855,4.36105,78.339,0.000125,161.0
29,2.87411,17.71,4.35698,78.021,0.000125,161.3
30,2.86444,17.539,4.36029,78.28,0.000125,161.5
